1:U_ID	2:Mac	3:IpAddress	4:Install	5:Star	6:VERSION	7:Date	8:Times	9:ChannelID	10:Remark
	1234567890	127.0.0.1	0	1	20120509	2012-05-09	08	1005	3010
	1234567890	127.0.0.1	0	1	20120509	2012-05-09	08	1005	3010
	1234567890	127.0.0.1	0	1	20120509	2012-05-09	08	1005	3010
	1234567890	127.0.0.1	0	1	20120509	2012-05-09	08	1005	3010
	1234567890	127.0.0.1	0	1	20120509	2012-05-09	08	1005	3010
	1234567890	127.0.0.1	0	1	20120509	2012-05-09	08	1005	3010
	234567891	127.0.0.1	0	1	20120510	2012-05-09	09	1988	0312
	234567891	127.0.0.1	0	1	20120510	2012-05-09	09	1988	0312
	234567891	127.0.0.1	0	1	20120510	2012-05-09	09	1988	0312
0312	234567891	127.0.0.1	0	1	20120510	2012-05-09	09	1988	0312
